GivenName,Surname,StreetAddress,TelephoneNumber
Inez,Poli,"1721 Eglinton Avenue",416-624-5777
Robert,Tarver,"2721 Bay Street",647-839-3641
Barbara,Drew,"2802 Bay Street",416-854-0047
Thomas,Motley,"3262 rue des Églises Est",819-765-2626
Matthew,Cody,"1392 Scotchmere Dr",519-542-5639
Antoine,Medley,"3655 40th Street",403-284-0615
Robert,Nolan,"4405 St. John Street",306-288-6500
Randall,Anderson,"2991 Jasper Avenue",780-242-1666
Abby,Colon,"2309 Carling Avenue",613-222-1110
Wally,Stewart,"4538 Woodvale Drive",519-264-3849
Lori,Wells,"4490 Lock Street",519-624-7475
Steven,Clark,"2313 Cork St",519-829-1949
Patricia,Beasley,"4086 Baker Street",519-477-7205
Bernice,Shepherd,"1569 56th Street",780-352-0417
Ryan,Barfield,"1604 Robson St",604-654-0399
Elaine,Jones,"166 rue des Champs",418-696-0560
Deborah,Petersen,"4521 Bayfield St",905-883-9265
Walter,Silver,"78 Yonge Street",416-212-5619
Alicia,Neumann,"2209 49th Avenue",867-462-8870
Jimmie,Arellano,"4214 Bay Street",647-893-6341
Korey,Andersen,"2829 Stoney Creek",306-876-7584
Lydia,Tracy,"302 Findlay Creek Road",250-424-6696
Ignacio,Richardson,"1151 Cork St",519-763-0570
Pierre,Carpenter,"1106 avenue Royale",418-271-6535
Robert,Nixon,"2344 Ross Street",613-583-1907
Justina,Baker,"1261 Maynard Rd",403-465-0067
Kristopher,Blackwell,"3038 Heritage Drive",403-253-8700
David,Aguilar,"3821 Danforth Avenue",416-463-1743
Thaddeus,Mitchell,"3635 Alness Street",416-650-4192
Eloisa,Pearson,"182 Fallon Drive",519-695-2256
Joan,Nixon,"3155 Keith Road",604-998-4256
Maria,Pierce,"424 Rue King",819-572-5899
Edward,Peden,"2729 Kinchant St",250-398-4039
Arturo,Adamson,"887 Isabella Street",613-639-5051
Ramiro,Baker,"1652 Sheppard Ave",647-321-5450
Mildred,Daniels,"3421 Pitfield Blvd",450-962-4431
Darlene,Smith,"3342 No. 3 Road",604-233-5645
Harold,Marsh,"2348 Heritage Drive",403-259-2397
Robert,Wilson,"1437 Horner Ave",416-840-3189
Danny,Clark,"2967 Burdett Avenue",250-655-7039
Laverne,Griffin,"481 Yonge Street",416-277-8419
James,McGlynn,"89 Main St",902-242-0077
Carl,Roach,"412 chemin Hudson",514-668-4112
Dale,Hutton,"3782 Jade St",604-213-1298
Sarah,Arriaga,"2201 Royal Avenue",778-889-9600
Donna,Martin,"1874 rue des Églises Est",819-765-7860
Lucienne,McGregor,"4639 rue Levy",514-891-7310
Milagros,Crossen,"3576 Jasper Avenue",780-298-8880
Margaret,Perkins,"3343 James Street",705-336-7564
Glenn,Ross,"2722 Bayfield St",705-528-3050
Mary,Doak,"2229 Landon Street",705-744-1318
Sonja,Alday,"2817 Lynden Road",905-562-1374
Steven,Delaney,"1608 9th Avenue",519-788-7478
Pamela,Schultz,"4088 Haaglund Rd",250-445-2703
Donald,Canale,"1366 James Street",604-996-1241
John,Shoemaker,"224 Heritage Drive",403-809-5594
Tom,Murphy,"1462 Blind Bay Road",250-835-8936
Grace,Wilkinson,"2380 rue Boulay",450-796-4768
Karen,Teel,"4769 Tycos Dr",416-220-5485
Margo,Starr,"3784 rue Principale",819-444-5690
Herman,Bennett,"4666 St. John Street",306-293-8559
Gail,Francis,"2706 Brand Road",306-382-2458
Marie,Goldenberg,"2941 Ste. Catherine Ouest",514-863-7133
Claud,Jones,"231 Wallace Street",250-714-0162
Otto,Hernandez,"4210 Sheppard Ave",416-412-2906
Caryl,Rudisill,"1049 Stum Lake Road",250-659-0417
Robert,Espinoza,"4676 Nelson Street",705-342-5050
Jose,Zuniga,"119 11th Ave",403-266-2004
Carlene,Vandyne,"4434 Essendene Avenue",604-768-8419
Liza,Johnson,"3577 Carling Avenue",613-792-2761
Carrie,Renteria,"4837 Paris St",705-562-8851
Amber,Sampson,"4307 Yoho Valley Road",250-344-7375
Marilyn,Springer,"1637 Kinchant St",604-463-5730
Timothy,Reaves,"266 Essendene Avenue",604-851-1884
Ronald,Watson,"1115 Lake City Way",604-612-4780
Steve,Youmans,"1690 Reserve St",705-887-5860
Sondra,Hudgins,"194 Camp Road",902-566-7324
Eileen,Brown,"1352 Lynden Road",905-679-0448
David,Robb,"4010 Fallon Drive",519-243-6049
William,Bingham,"414 Eagle Rd",416-232-5125
Jack,Panos,"2028 Jade St",604-921-6543
Barbara,Thomas,"4770 Balmy Beach Road",519-377-7762
Peter,Smith,"808 Scotts Lane",250-246-8442
David,Eddy,"2362 Barton Street",905-662-9345
Steven,Merritt,"539 Nelson Street",705-375-4810
Sylvia,Britt,"4670 5th Avenue",780-354-5145
Joseph,Redmond,"3929 Harvest Moon Dr",905-944-2158
Paul,Knight,"275 Danforth Avenue",416-462-2424
Cedric,Knight,"2640 Bay Street",647-829-1874
Valerie,Harris,"2628 Higginsville Road",902-472-9389
Ernest,Bidwell,"1444 2nd Street",204-476-1755
Daniel,Solomon,"2606 rue des Églises Est",450-297-1329
Kenneth,Hardrick,"3390 Fallon Drive",519-682-1700
John,Shultz,"2538 Cassells St",705-476-0927
Gregory,Harman,"3936 Sable Street",705-844-3270
Roy,Curry,"4091 De la Providence Avenue",819-328-2152
Mary,Green,"4614 Galts Ave",403-340-3460
Deborah,Lloyd,"1314 Bay Street",416-732-9489
Herbert,Kruse,"2131 St. Paul Street",905-227-9018
Anthony,Lowe,"880 Township Rd",780-875-7534
Kathy,Young,"3753 47th Avenue",780-383-3219
Tara,McKenna,"1431 Barrydowne Road",705-861-7198
Eric,Six,"3528 Speers Road",905-789-6258
Pamela,Davis,"2672 Fallon Drive",519-335-1275
John,Carothers,"3454 Tycos Dr",416-542-3516
Thomas,Fields,"4586 rue de la Gauchetière",514-393-5716
Linda,Soper,"1863 MacLaren Street",613-563-6596
William,Carter,"1675 Brant Ave",780-676-2514
Christopher,Moak,"2458 Brand Road",306-242-9892
Paul,Morgan,"3069 Princess St",613-545-1434
Diane,Hastings,"3865 St. John Street",306-493-8937
Woodrow,Horton,"4660 boulevard des Laurentides",819-913-4788
Thomas,Barksdale,"1406 Rustico Road",902-388-2617
William,Black,"2339 Bay Street",647-838-2320
Nancy,Rogers,"933 Mesa Vista Drive",250-455-7351
Carl,Clare,"2102 Reserve St",613-258-5899
Dawn,Vanfleet,"576 Bridgeport Rd",705-435-1173
Sarah,Rezendes,"4809 Park Ct",780-621-8468
Brenda,Reynolds,"4166 Ste. Catherine Ouest",514-863-1757
Kenneth,Burt,"3863 Whiskey Cove Road",250-957-8242
Callie,Morris,"1398 Wascana Parkway",306-777-5972
Dolores,Doolittle,"3413 47th Avenue",780-358-1463
Travis,Elmore,"43 St. John Street",306-492-2786
Shelly,Escobedo,"2849 Bridgeport Rd",519-942-0189
Florencio,Meyer,"3497 137th Avenue",780-665-8792
Celeste,Edwards,"3212 11th Ave",403-303-7463
Brian,Wright,"1760 Fallon Drive",519-482-5260
Jerald,Richmond,"3945 Reserve St",613-757-6748
Racquel,Rogers,"3327 Reserve St",705-457-4062
Bruce,Silva,"395 Bloor Street",403-883-0006
Steven,Middendorf,"4382 Water Street",519-743-0155
Christopher,Taylor,"1405 Weir Crescent",416-287-0319
Virgil,Holmes,"4907 Sixth Street",604-818-5780
Glen,Pearson,"2601 De L'Acadie Boul",514-953-3400
Matthew,Gaskill,"589 40th Street",403-281-0139
Terrie,Norris,"3966 De la Providence Avenue",819-318-4703
Shirley,Bryan,"1316 René-Lévesque Blvd",514-577-2505
Jeffrey,Jones,"152 Eglinton Avenue",416-547-8764
Wonda,Williams,"2748 Roger Street",250-732-0371
Robert,Scott,"1413 Sherbrooke Ouest",514-928-9971
Kathryn,Dyer,"2551 Port Washington Road",403-625-7803
Mary,Ray,"1516 Benton Street",519-498-3381
Michelle,Kimbrough,"1767 Lock Street",519-624-1723
Elizabeth,Maker,"4017 Fallon Drive",519-665-3114
Sharon,Reynolds,"3669 184th Street",780-619-6458
Jerry,Monty,"2888 Brant Ave",780-899-9801
Harold,Mullis,"4167 9th Avenue",403-989-9447
Ronald,Ball,"4282 90th Avenue",403-854-7693
Berenice,Jonson,"4226 Boulevard Ste-Geneviève",418-290-1655
Matt,Lucas,"3235 Cordova Street",604-218-9069
Nikita,Benton,"3211 Alness Street",416-739-7014
Edna,Kerr,"4858 St-Jerome Street",450-560-6713
George,Reynolds,"2482 Garden Drive",902-836-4014
Vickie,Lewis,"682 Hastings Street",604-715-5928
Michael,Chappell,"504 49th Avenue",867-793-0441
Jesse,Daly,"1267 Sheppard Ave",416-291-6779
Patricia,Saliba,"4791 Riedel Street",780-790-8124
Christopher,Nolan,"658 Promenade du Portage",819-777-7121
Donald,Bonenfant,"4058 rue Saint-Édouard",819-370-9016
Helen,Thurber,"4054 Brew Creek Rd",250-259-2524
Gloria,Headley,"4034 Thurston Dr",613-614-7337
Darcy,Mackay,"2795 Adelaide St",416-860-6561
Larry,Williams,"2794 Gorham Street",519-660-7170
Eileen,Waters,"2661 Boulevard Laflèche",418-868-8677
Kenneth,Loeb,"3723 Sheppard Ave",416-297-3858
Robin,Watts,"1595 James Street",778-222-0105
James,Hopper,"1291 Richmond Street",905-404-3301
Lillian,Butler,"3080 Burdett Avenue",250-589-0649
Maria,Kennedy,"4288 137th Avenue",780-477-1334
Constance,Miner,"3445 Halsey Avenue",416-444-5084
John,Craver,"3187 49th Avenue",867-982-0101
Angela,Gonzalez,"489 40th Street",403-338-8264
Jimmie,Black,"2472 Dominion St",613-448-0134
Craig,Aho,"2423 De L'Acadie Boul",514-943-0324
Laureen,Shade,"4489 rue Garneau",418-569-0072
Louise,Hughes,"2481 Old Spallumcheen Rd",604-869-8564
Michael,Big,"2457 Adelaide St",416-360-9064
Dennis,Montgomery,"3441 Tycos Dr",416-346-7971
James,Rosado,"4332 Kinchant St",250-574-9679
Stacy,Spencer,"1656 A Avenue",780-421-5350
Wanda,Johnson,"1301 Wellington Street",416-620-1452
Charles,Smith,"2963 Port Washington Road",403-737-1182
Princess,Flynn,"4497 Weston Rd",416-248-4273
Sandra,Rodriguez,"2527 rue Levy",514-755-3028
Thomas,Chestnut,"3779 Riedel Street",780-743-6196
Frances,Horne,"3908 49th Avenue",867-695-6995
Delphine,Poteete,"2385 De la Providence Avenue",819-318-2718
Diane,Roberts,"2499 rue Ellice",450-802-6197
Pearl,Miller,"818 Stum Lake Road",250-481-9337
Eric,King,"834 Heritage Drive",403-253-4650
Linda,Coats,"3002 Brant Ave",780-676-3936
Melvin,Noren,"4327 Dominion St",613-528-4832
Michael,Warner,"576 Victoria Park Ave",416-612-1685
Greg,Randle,"2088 Smith Avenue",905-512-7825
Nancy,Pritchett,"4224 St. John Street",306-896-4537
Karen,Hutchison,"4687 Brant Ave",403-379-2083
Michelle,Mueller,"695 Hyde Park Road",519-472-9420
Patricia,Santos,"833 Fallon Drive",519-368-7582
Scott,Dye,"1575 Merton Street",416-525-0654
Heather,Bushnell,"514 Adelaide St",416-504-8903
Raymond,Bean,"502 Charleton Ave",905-516-0687
Michael,Sweeney,"3898 McGill Road",250-819-4044
Martin,Chill,"2057 Alness Street",416-664-4822
Sandra,Stewart,"1047 Cordova Street",604-218-3353
Albert,Gomez,"4563 Shaughnessy St",604-927-3781
Deborah,Jackson,"2638 9th Ave",403-626-4091
Mary,Taylor,"3582 Lynden Road",905-468-9890
Wendy,Mason,"4049 Isabella Street",613-848-5239
John,Clark,"362 Merivale Road",613-254-5795
Raye,Freeman,"3984 Parkdale Avenue",905-543-4639
Thaddeus,McManus,"1496 Bay Street",647-866-3005
Bernadette,Piland,"3558 Cornwall Street",306-848-9176
Richard,Randall,"408 Algoma St",807-983-1407
Carol,Hart,"472 Fallon Drive",519-689-4698
Robert,Bernal,"2467 Bay Street",647-839-8602
Lloyd,Primmer,"2024 Victoria Park Ave",416-772-6721
Devin,Anderson,"796 MacLaren Street",613-230-0172
Lorenzo,Anderson,"724 Runnymede Rd",416-604-6995
James,Elliott,"2360 Tycos Dr",416-977-9201
Karen,Wright,"3335 No. 3 Road",604-244-7214
Blake,Marsden,"4938 rue Fournier",450-820-5471
Mary,Palomo,"3298 Paradise Crescent",418-589-1747
Delana,Brinegar,"413 Grey Rd",519-924-6796
Anne,McKenna,"1903 Robson St",604-666-2590
Frances,Jackson,"2114 rue Levy",514-712-9705
Lisa,Hughes,"4812 Brew Creek Rd",250-539-6538
Nestor,Hunt,"1531 rue Ontario Ouest",514-848-9254
Carolyn,Judge,"3760 Port Washington Road",403-599-1520
Juan,Moore,"3519 Barton Street",905-661-0736
Luigi,Delarosa,"2939 Lynden Road",705-428-4118
Nancy,Sawyer,"3277 Reserve St",613-385-2065
Jeffrey,Horn,"3289 Nootka Street",778-232-5046
Cheryl,Johns,"2297 Wyecroft Road",905-220-2544
Quincy,Weise,"4856 Yonge Street",416-935-4888
Julia,William,"2316 Eglinton Avenue",647-201-8510
John,Merino,"3073 Adelaide St",416-363-0314
Tracy,Husman,"4114 Dry Pine Bay Rd",705-682-8301
Mark,Johnson,"4647 rue Saint-Antoine",450-521-7543
Maureen,Cardoza,"3782 Gateway Blvd",780-435-4235
Roger,McKenna,"521 James Street",705-278-2939
George,Collins,"4171 Bloor Street",780-922-4584
Leighann,Fee,"4981 Merivale Road",613-721-8861
Jenifer,Thompson,"4133 James Street",604-856-3708
Marilyn,Tong,"726 Bay Street",416-732-5770
Hazel,Harris,"4079 Port Washington Road",403-652-9494
Glen,Cade,"4346 40th Street",403-338-7853
Jeremiah,Walker,"82 MacLaren Street",613-844-3205
Therese,Stepp,"773 Bank St",613-875-0921
Patricia,Jones,"1364 MacLaren Street",613-978-6569
Wesley,Schmitt,"4298 40th Street",403-717-6692
Donna,Hoban,"4286 Tchesinkut Lake Rd",250-567-1885
Robert,Delarosa,"4390 Bridgeport Rd",905-648-1566
Wilfred,Reyna,"3098 Riedel Street",780-881-0351
Ruby,Cool,"3655 7th Ave",403-257-7606
Kurt,Sheridan,"4482 Nelson Street",705-882-3430
Sherri,Dixon,"203 Fallon Drive",519-395-4919
Susan,Inman,"3511 Wharf Rd",902-368-8276
Jocelyn,Opperman,"3713 Scotts Lane",250-336-7542
Juanita,Treadway,"2648 Boulevard Laflèche",418-292-7902
Shirley,Washington,"2845 Rose Street",306-526-2685
Jamie,Franklin,"911 St. John Street",306-887-0322
Joseph,Walker,"3631 Landon Street",705-776-8802
Richard,Kuhn,"2913 rue Saint-Charles",450-647-9662
Gregory,Diaz,"2189 Burdett Avenue",250-846-0646
Jamie,Duncan,"3429 Lauzon Parkway",519-322-0192
Sheron,Gallagher,"2941 Campsite Road",780-960-3854
Ethel,Olivier,"1241 Bayfield St",905-642-1301
Jennifer,Sharpe,"945 Bay Street",416-835-6786
Thomas,Edwards,"3616 Burdett Avenue",250-831-3383
Linda,Feldman,"757 Queens Sq",519-222-9366
Phillip,Boggs,"468 York St",519-200-2067
Alan,Miller,"4729 White Point Road",902-356-0093
Al,Meeks,"2501 Baker Street",519-858-6908
Celeste,Smith,"2513 Ste. Catherine Ouest",514-908-8063
Bill,Mathis,"4549 Weston Rd",416-210-0058
Brian,Cole,"4951 Robson St",604-660-1142
Marilyn,Muncy,"981 49th Avenue",867-769-9195
Beatrice,White,"2704 Essendene Avenue",604-859-0801
Christopher,Morey,"584 Robson St",604-632-6052
Linda,Lane,"2000 A Avenue",780-496-1634
Maria,Morse,"974 Cordova Street",604-505-9217
Donna,Robinson,"1409 Dunning Road",613-833-0055
Norman,McDonald,"2032 Reserve St",613-582-5067
Luis,Honeycutt,"4659 Toy Avenue",905-674-2946
Robert,Williams,"1743 Lynden Road",905-887-5054
Carol,Long,"2315 Park Ct",780-892-8188
Jose,Harrell,"1001 Cardero St",604-688-6635
William,Reynolds,"700 Boulevard Laflèche",418-631-3847
Faith,Gerrish,"1150 Brew Creek Rd",604-935-3122
Marc,Stafford,"1403 Port Washington Road",403-553-5391
April,Darden,"2566 Victoria Park Ave",416-685-0773
Donald,Perkins,"1723 Sherbrooke Ouest",514-444-7331
Barbara,Morse,"2604 Central Pkwy",905-361-1701
Lina,Mitchell,"2781 MacLaren Street",613-563-2848
James,Benoit,"4583 Sixth Street",604-813-9677
Pete,Christopher,"3424 Wentz Avenue",306-241-5118
Adam,Pierce,"4829 Silver St",705-672-0438
Diane,Vang,"4582 Eglinton Avenue",416-481-1262
Patricia,McDonald,"4155 Rose Street",306-569-6945
Edgar,Todd,"1226 40th Street",403-888-6144
Katherine,Bartley,"3255 Churchill Plaza",705-256-7444
Sheila,Sisson,"4290 Runnymede Rd",416-604-0212
Richard,Marin,"2842 Saint-Denis Street",514-697-8025
Heather,Moses,"2076 Boulevard Cremazie",418-808-8005
Dillon,King,"4366 Robson St",604-685-1415
Travis,Roberts,"4832 Lynden Road",905-659-5516
Pamela,Eubanks,"3072 Cornwall Street",306-421-3334
Arnold,Leblanc,"721 Heritage Drive",403-710-6546
Louise,White,"3234 Nelson Street",705-785-3664
Jerome,Dyson,"1084 rue Levy",514-712-1283
Ronald,Mann,"10 George Street",705-760-8039
Deborah,Canipe,"663 rue Fournier",450-712-6800
George,Robinson,"2470 Maynard Rd",403-463-7341
Claude,Chance,"1342 Port Washington Road",403-773-5474
Everette,Winston,"3023 St George Street",604-874-2279
Rosa,Lynch,"2483 Cork St",519-822-1012
Lori,Ortiz,"1435 Lauzon Parkway",519-982-3103
Edna,Stacy,"21 Toy Avenue",905-674-6480
Cindy,Davison,"4297 Merton Street",416-988-5651
Brittany,Clark,"2300 Silver St",705-676-8753
Kimberley,Purdy,"4764 Isabella Street",613-392-4479
Kyle,Ford,"2958 Lauzon Parkway",519-736-2664
Abe,Brown,"1855 Danforth Avenue",416-404-9989
Aron,Jackson,"2483 René-Lévesque Blvd",514-568-6224
Kimberly,Barker,"3598 Brand Road",306-891-6250
Candace,Becker,"1762 Bay Street",416-823-2561
Fred,Simpson,"4282 Scotchmere Dr",519-346-5259
Annemarie,Savoy,"1138 Port Washington Road",403-935-1102
Matthew,Clarke,"908 Boulevard Cremazie",418-640-2852
Jefferey,Clemons,"1694 rue des Églises Est",819-947-0477
James,Jones,"1517 11th Ave",403-269-2879
Norma,Morris,"746 Coldstream Avenue",250-306-9355
Raymond,Smith,"4124 Venture Place",780-674-3473
Norman,Costas,"2752 rue Saint-Antoine",450-522-2172
Maureen,Perron,"779 Speers Road",905-487-9621
Sheldon,Wallace,"763 Bloor Street",780-367-4383
Christopher,Baughman,"3877 Orenda Rd",905-460-9367
Michelle,Papa,"2869 Cardero St",604-696-2502
Sandra,Boyle,"798 47th Avenue",780-525-5427
Lisa,Jacobs,"568 Victoria Park Ave",416-750-0600
Kayla,Stanfield,"4304 rue Saint-Charles",450-679-7127
Lois,Snyder,"4469 Heritage Drive",403-828-9808
Kurt,Meza,"3581 Thatcher Avenue",306-825-6462
Ronald,Yoon,"822 Wellington Street",416-620-9885
Debbie,Eilers,"264 Alaska Hwy",250-788-6728
Marlon,Goodwin,"4199 James Street",604-422-2324
Rick,Austin,"1783 Water Street",519-570-4768
Michael,Ramirez,"1935 Garafraxa St",519-793-7402
Mozell,Flora,"1502 102nd Avenue",250-262-9296
Scott,Tripp,"1920 Wellington Street",905-206-2239
Julie,Comes,"2985 9th Avenue",519-532-6771
Maria,Bell,"2540 rue Saint-Édouard",819-377-3760
Charles,Gilman,"1080 Cardero St",604-408-5826
William,Lewis,"1838 Woodvale Drive",519-785-3694
Douglas,Rivera,"3308 Galts Ave",403-323-0674
Dennis,Rice,"4136 Adelaide St",416-943-3537
Howard,McClendon,"2336 Bellwood Acres Rd",705-635-6849
Susan,Sharkey,"516 Weir Crescent",416-993-4031
Jeremy,Block,"3014 Wyecroft Road",905-407-3194
Michael,Stein,"4207 Princess St",613-545-0361
Anne,Cochran,"175 Brant Ave",780-595-8109
Mae,Brazeal,"3111 50th Street",780-699-1119
Toni,Ash,"4779 Royal Avenue",778-863-9655
Anderson,Combs,"1251 Eglinton Avenue",416-671-6499
George,Martin,"3559 Gateway Blvd",780-433-1707
Martha,Boone,"1328 A Avenue",780-498-0144
Michael,Rangel,"4912 Central Pkwy",905-302-3214
Leona,Citizen,"2702 rue de la Gauchetière",514-876-6523
Betty,Hutt,"3100 avenue Royale",418-998-0565
Beulah,Housel,"2142 St. John Street",306-379-2980
Joseph,Parker,"4573 Silver Springs Blvd",403-288-5466
Evelyn,Astudillo,"4659 avenue de Port-Royal",418-388-1898
Nicole,Anderson,"3358 Bloor Street",780-373-4918
Sharon,Michael,"3293 rue Saint-Antoine",450-525-6350
George,Engels,"1817 George Street",705-872-2435
Laurie,Dennison,"921 7th Ave",403-503-7593
William,Janney,"1049 Lynden Road",905-983-5556
Stephanie,Knight,"814 Heatherleigh",905-803-1000
Steve,Wilson,"3800 1st Ave",306-521-6390
Denise,Shields,"340 St. John Street",306-857-3198
Betty,Wilmes,"1903 Bay Street",416-821-9332
Corrine,Cox,"4449 Barrydowne Road",705-671-6839
Adela,Bellinger,"3420 Queens Sq",519-249-9551
Laura,Stalling,"86 rue des Églises Est",819-756-3453
Lilla,Blunt,"1636 Kinchant St",604-824-7518
Chad,Morello,"67 Bank St",613-733-3630
Katrina,Greene,"2668 St. John Street",306-394-2332
Hazel,Perez,"2896 Country Road",403-642-5327
Joan,Barr,"2072 Speers Road",905-464-3473
Teri,Jones,"2532 Elgin Street",613-923-9786
Denise,Madsen,"664 Roger Street",250-266-3236
Tyler,Harris,"2371 Scotchmere Dr",519-388-8438
Alena,Merritt,"1588 Tycos Dr",416-882-6945
John,Barney,"2944 Danforth Avenue",416-328-4991
Melissa,Clark,"3115 Albert Street",306-549-8939
Perry,Allen,"427 Central Pkwy",905-606-6373
Alicia,Miles,"438 chemin Hudson",514-268-1200
Cordelia,James,"155 Carling Avenue",613-864-7696
Troy,Carver,"157 Davis Drive",905-834-8755
Judy,Morales,"4431 Bungay Road",902-964-1213
Lyn,Hernandez,"571 York St",519-200-5548
Wilbert,Begay,"1501 Burdett Avenue",250-831-9459
Dean,Barkley,"1039 Northumberland Street",519-699-4034
Carla,Raymond,"3565 MacLaren Street",613-368-1759
Richard,Utz,"846 Robson St",604-642-1902
Jean,Jones,"1932 Pape Ave",416-737-4066
Calvin,Wiley,"4255 Playfair Avenue",416-424-3607
Charles,Tillison,"1892 Heritage Drive",403-212-6145
Cecil,Purnell,"2526 Bayfield St",705-716-6387
Linda,Burrows,"2025 102nd Avenue",250-307-1961
Carol,Morehouse,"4575 Riedel Street",780-799-7773
Bronwyn,Colon,"2791 40th Street",403-203-1808
Joel,Applebaum,"4383 Yoho Valley Road",250-348-1649
Eve,Hinton,"137 137th Avenue",780-491-0684
Margaret,Jones,"1677 Keith Road",604-982-7656
Jesse,Albright,"2476 Barrydowne Road",705-239-9147
Molly,Nixon,"3373 Speers Road",905-872-9945
Dorothy,Skinner,"489 Bay Street",647-893-3901
Samuel,Curry,"545 Algonquin Blvd",705-360-5172
Brian,Cohn,"4594 Elgin Street",613-659-4197
Gregory,Perez,"2493 Port Washington Road",403-881-4328
Patricia,Anderson,"103 Paradise Crescent",418-565-9789
Nancy,Gullickson,"478 Tchesinkut Lake Rd",250-697-2898
Danielle,Brodbeck,"242 Hardy Street",250-979-3938
Alfred,Vernon,"174 Fallon Drive",519-738-5443
Adell,Estrada,"3972 rue des Églises Est",819-734-3114
Jon,Plunkett,"2621 Main St",306-769-1332
Samantha,Martin,"2861 Yonge Street",416-972-1495
Nathaniel,Shaw,"4581 Danforth Avenue",416-461-7077
Hyman,Carrera,"4538 St George Street",604-876-3174
Alicia,Hernandez,"2587 47th Avenue",780-736-6771
Gilbert,Peters,"4486 Bloor Street",780-593-1227
James,Gadson,"286 Leslie Street",905-954-8136
Lola,Wallace,"3399 Hyde Park Road",519-685-8985
Ronald,Novak,"493 Islington Ave",647-228-8492
Nicholas,Ryan,"25 Pine Street",780-387-5623
Carolyn,Strain,"696 47th Avenue",780-889-7672
Shawn,Junior,"1812 Islington Ave",416-744-1533
Sue,Smith,"2330 chemin Georges",450-368-2023
John,Gray,"3966 Merivale Road",613-221-2449
Louis,Woodby,"70 Baker Street",519-433-3156
Paul,Caudell,"3081 Port Washington Road",403-647-1974
Lois,Murray,"4466 Adelaide St",416-350-1875
Edward,Covington,"3278 Water Street",519-569-9668
Michelle,Ford,"3335 9th Avenue",519-533-1890
George,Mathis,"2112 Blanshard",250-886-1276
Eulalia,Riley,"473 Robson St",604-667-8713
Salvador,Nickel,"3758 Dry Pine Bay Rd",807-822-5636
Jerry,Hoff,"3174 Tanner Street",604-451-8563
Dorcas,Cramer,"2201 Fourth Avenue",403-615-5027
Florence,Garcia,"72 Manitoba Street",705-646-8846
Linda,Iler,"4485 St. John Street",306-277-5952
Cesar,Torres,"4924 5th Avenue",780-354-6538
Henry,Purvis,"3032 90th Avenue",403-857-2840
Jose,Simons,"1771 rue Garneau",418-659-7412
Shannon,Isabelle,"1135 King George Hwy",604-572-8597
Milton,Travis,"2590 Albert Street",306-377-7840
Annie,Ellison,"763 7th Ave",403-547-6829
Helen,Kier,"4652 Brand Road",306-382-6589
Frank,Gift,"4970 Brew Creek Rd",250-284-7268
Doris,Hinkson,"940 Glover Road",604-533-4159
Joseph,Stewart,"4219 Pape Ave",416-693-2922
Delores,Williams,"2125 Old Spallumcheen Rd",250-637-0151
Josephine,Holmes,"379 Lockhart Drive",705-309-3045
Ernie,Dare,"1030 Weston Rd",416-249-5636
Cora,Elliott,"4897 Jasper Ave",780-901-3631
Diane,Fisher,"3681 Nelson Street",807-353-8829
Joseph,Wallace,"2641 Lynden Road",905-659-8210
Randy,Abell,"923 Brand Road",306-290-9468
Lauren,Lee,"3145 Tanner Street",604-437-1054
Susan,Davis,"2038 rue Saint-Édouard",819-372-4771
Michelle,Ratliff,"4615 Paris St",705-560-0909
Valerie,Hand,"3988 Scotchmere Dr",519-381-5333
Myles,Demoss,"3087 Mt Edward Rd",902-367-5245
Michael,Robinson,"3498 Algoma St",807-346-7666
Joan,Jones,"4347 Toy Avenue",905-621-1815
Robert,Smith,"3671 chemin du Lac",450-655-9499
Joseph,Grube,"85 Ross Street",613-382-6441
Kristan,Miller,"2136 avenue Royale",418-803-3591
Camille,Lopez,"1956 Horner Ave",647-439-4212
Susan,Morse,"501 Islington Ave",416-743-9070
Kathy,You,"3687 Keith Road",604-987-4246
Janette,Baldwin,"2585 chemin Hudson",514-808-8313
Harvey,Floyd,"2919 Carlson Road",250-648-3979
Alvin,Lowry,"1224 Scarth Street",514-483-7275
William,Fellows,"4466 Princess St",613-887-5808
Francis,Torres,"1832 Edson Drive",780-723-1439
Marjory,Weber,"135 King George Hwy",604-507-0203
Juan,Kuhn,"319 rue Saint-Charles",450-679-2762
Albert,Ali,"4746 Albert Street",519-301-2891
Sean,Johnson,"3192 Hardy Street",250-862-0747
Janice,Black,"3061 rue des Églises Est",819-493-2589
Scott,Thompson,"2838 Robson St",604-631-1907
Betty,Gonzales,"3039 Scotts Lane",250-722-8051
Corrie,Hoover,"1810 St Jean Baptiste St",418-237-0863
Nancy,Lenihan,"4245 Maynard Rd",403-464-0729
Marlys,Gibson,"1183 Speers Road",905-654-8586
Sherry,White,"4491 Whiskey Cove Road",250-839-2896
Rachel,Gomes,"430 Ste. Catherine Ouest",514-313-8111
Robert,Clifford,"2911 Haaglund Rd",250-237-5297
Scott,Derr,"2651 Papineau Avenue",514-297-5289
Shawn,Gaines,"881 Charleton Ave",905-517-8733
Maryann,Spangler,"333 Carling Avenue",613-792-1442
Elsie,Roberts,"2448 Tolmie St",604-266-2239
Brian,Knight,"680 Findlay Creek Road",250-429-0811
Duane,York,"2185 Old Spallumcheen Rd",250-628-7153
Jeffrey,Osgood,"1338 St George Street",604-709-7687
